,Mean Relative CATE Error (percentage),Method,#Covariates
448,48.76225763834587,BART,8
449,48.77082206683762,BART,8
450,24.436332126865356,BART,32
451,23.685612738169638,BART,32
452,23.943501732475298,BART,32
453,23.826513452335632,BART,32
454,24.93999055373158,BART,32
455,24.362924259293305,BART,32
456,24.1378588580009,BART,32
457,24.20667485168684,BART,32
458,23.43609020670069,BART,32
459,24.516797066366124,BART,32
460,23.796663570181078,BART,32
461,23.966922333997857,BART,32
462,24.057162326202974,BART,32
463,24.172559776079932,BART,32
464,24.712729073075174,BART,32
465,24.079927357083555,BART,32
466,24.27472785035547,BART,32
467,24.61875871899133,BART,32
468,24.2333444889446,BART,32
469,24.811234934332614,BART,32
470,23.498295965696396,BART,32
471,24.41440151057342,BART,32
472,23.89566851853467,BART,32
473,23.914773446117625,BART,32
474,24.09991812609637,BART,32
475,24.349195353520837,BART,32
476,23.792441710266523,BART,32
477,24.301893166106826,BART,32
478,25.44907998365063,BART,32
479,25.533976677979016,BART,32
480,25.133395159354926,BART,32
481,24.17547256662092,BART,32
482,23.173080940376643,BART,32
483,23.962893024824712,BART,32
484,24.221190696451785,BART,32
485,24.524441091552976,BART,32
486,24.47465691780551,BART,32
487,24.306775941710153,BART,32
488,25.034070785365667,BART,32
489,24.065884728986237,BART,32
490,24.46496800482622,BART,32
491,24.54155943575312,BART,32
492,24.268800655075527,BART,32
493,24.053397765802213,BART,32
494,24.50234470661991,BART,32
495,25.0544733743533,BART,32
496,23.53290236719137,BART,32
497,24.489248611440413,BART,32
498,23.65438324699901,BART,32
499,24.98789742958092,BART,32
500,,BART,256
501,,BART,256
502,,BART,256
503,,BART,256
504,,BART,256
505,,BART,256
506,,BART,256
507,,BART,256
508,,BART,256
509,,BART,256
510,,BART,256
511,,BART,256
512,,BART,256
513,,BART,256
514,,BART,256
515,,BART,256
516,,BART,256
517,,BART,256
518,,BART,256
519,,BART,256
520,,BART,256
521,,BART,256
522,,BART,256
523,,BART,256
524,,BART,256
525,,BART,256
526,,BART,256
527,,BART,256
528,,BART,256
529,,BART,256
530,,BART,256
531,,BART,256
532,,BART,256
533,,BART,256
534,,BART,256
535,,BART,256
536,,BART,256
537,,BART,256
538,,BART,256
539,,BART,256
540,,BART,256
541,,BART,256
542,,BART,256
543,,BART,256
544,,BART,256
545,,BART,256
546,,BART,256
547,,BART,256
548,,BART,256
549,,BART,256
550,,BART,512
551,,BART,512
552,,BART,512
553,,BART,512
554,,BART,512
555,,BART,512
556,,BART,512
557,,BART,512
558,,BART,512
559,,BART,512
560,,BART,512
561,,BART,512
562,,BART,512
563,,BART,512
564,,BART,512
565,,BART,512
566,,BART,512
567,,BART,512
568,,BART,512
569,,BART,512
570,,BART,512
571,,BART,512
572,,BART,512
573,,BART,512
574,,BART,512
575,,BART,512
576,,BART,512
577,,BART,512
578,,BART,512
579,,BART,512
580,,BART,512
581,,BART,512
582,,BART,512
583,,BART,512
584,,BART,512
585,,BART,512
586,,BART,512
587,,BART,512
588,,BART,512
589,,BART,512
590,,BART,512
591,,BART,512
592,,BART,512
593,,BART,512
594,,BART,512
595,,BART,512
596,,BART,512
597,,BART,512
598,,BART,512
599,,BART,512
600,42.47137190754365,Causal Forest,2
601,47.92492618434341,Causal Forest,2
602,44.59735478288815,Causal Forest,2
603,39.50692716299389,Causal Forest,2
604,47.1399865869398,Causal Forest,2
605,36.36951791321461,Causal Forest,2
606,39.35918353461153,Causal Forest,2
607,43.07793620180402,Causal Forest,2
608,33.812167142772765,Causal Forest,2
609,39.824721664240975,Causal Forest,2
610,49.508049934646756,Causal Forest,2
611,44.97701546062588,Causal Forest,2
612,46.61096700804273,Causal Forest,2
613,45.527455658154196,Causal Forest,2
614,51.940233704398445,Causal Forest,2
615,51.07116606444494,Causal Forest,2
616,47.330634992426184,Causal Forest,2
617,46.37734578710509,Causal Forest,2
618,44.61609455006532,Causal Forest,2
619,49.66105551399924,Causal Forest,2
620,45.63601830435187,Causal Forest,2
621,35.0557607391406,Causal Forest,2
622,54.68362842798315,Causal Forest,2
623,45.786496898686316,Causal Forest,2
624,50.557507610570674,Causal Forest,2
625,46.61960423270317,Causal Forest,2
626,47.579937171167046,Causal Forest,2
627,43.04010205043316,Causal Forest,2
628,51.90382463060016,Causal Forest,2
629,49.94103016935134,Causal Forest,2
630,45.4576898087011,Causal Forest,2
631,37.496878267604146,Causal Forest,2
632,36.35323270656914,Causal Forest,2
633,38.22750923409668,Causal Forest,2
634,57.22430507096661,Causal Forest,2
635,52.48084314691093,Causal Forest,2
636,39.34161306912982,Causal Forest,2
637,52.71482389676803,Causal Forest,2
638,49.42356889508974,Causal Forest,2
639,43.17200036621023,Causal Forest,2
640,50.83249457370874,Causal Forest,2
641,42.7096568353052,Causal Forest,2
642,44.74909647613238,Causal Forest,2
643,45.77392711251593,Causal Forest,2
644,47.04746075063165,Causal Forest,2
645,45.73561303303617,Causal Forest,2
646,47.20688225681774,Causal Forest,2
647,39.85145887635114,Causal Forest,2
648,43.51418766904501,Causal Forest,2
649,37.53704840314223,Causal Forest,2
650,114.1667017684043,Causal Forest,4
651,101.31437911830722,Causal Forest,4
652,71.10933533822875,Causal Forest,4
653,80.68676917066624,Causal Forest,4
654,73.45358942866015,Causal Forest,4
